,S&C Positrol Fuse Links,,,,,,,,,,S&C Positrol Fuse Links,,,,,,,,,,S&C Positrol Fuse Links,,,,,,,,,
,Universal and Extra Performance Styles,,,,,,,,,,Universal and Extra Performance Styles,,,,,,,,,,Universal and Extra Performance Styles,,,,,,,,,
,"""K"" Speed (TCC 165-6-2)",,,,,,,,,,"""K"" Speed (TCC 165-6-2)",,,,,,,,,,"""K"" Speed (TCC 165-6-2)",,,,,,,,,
,"Total Clearing Time-Current Characteristic Curves Dated January 20, 1986",,,,,,,,,,"Total Clearing Time-Current Characteristic Curves Dated January 20, 1986",,,,,,,,,,"Total Clearing Time-Current Characteristic Curves Dated January 20, 1986",,,,,,,,,
,Tolerance:  Curves are plotted to maximum test points.  All variations are minus.,,,,,,,,,,Tolerance:  Curves are plotted to maximum test points.  All variations are minus.,,,,,,,,,,Tolerance:  Curves are plotted to maximum test points.  All variations are minus.,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6K,,8K,,10K,,12K,,15K,,20K,,25K,,30K,,40K,,50K,,65K,,80K,,100K,,140K,,200K,
,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time
 ,"349,095","0,021064","296,588","0,031237","353,309","0,033168","397,559","0,038459","482,675","0,041537","662,714","0,037773","854,352","0,037472","888,33","0,048211","1354,71","0,038574","1409,99","0,050028","1155,56","0,091615","1447,13","0,101859","2143,81","0,074933","2569,18","0,152108","2229,07","0,666203"
 ,"322,255","0,022547","262,787","0,035823","324,194","0,037099","357,217","0,044238","432,397","0,048356","573,836","0,046044","791,827","0,041454","810,25","0,055014","1259,33","0,042376","1288,64","0,057088","1047,69","0,107189","1331,87","0,1174","1984,93","0,084995","2405,08","0,173919","2156,71","0,73848"
 ,"299,569","0,024109","236,357","0,040837","294,519","0,042376","326,798","0,050128","388,131","0,056633","502,373","0,055845","744,225","0,044952","739,033","0,063029","1142,92","0,048453","1176,55","0,065274","971,016","0,122681","1225,79","0,136264","1817,72","0,097963","2235,77","0,201662","2114,01","0,792026"
 ,"274,059","0,026248","214,507","0,046553","268,095","0,048501","297,182","0,057546","351,899","0,065601","427,239","0,071421","685,633","0,050329","654,809","0,075761","1025,91","0,056463","1083,92","0,074261","875,98","0,148352","1134,94","0,157054","1703,33","0,109463","2037,22","0,242158","2070,07","0,84353"
 ,"245,511","0,029241","193,126","0,053979","242,825","0,056125","267,56","0,067531","318,73","0,076753","379,306","0,086625","632,287","0,056633","575,56","0,093465","940,435","0,064495","989,642","0,085935","777,702","0,185044","1051,88","0,181379","1561,4","0,127051","1858,16","0,29283","2039,26","0,888554"
 ,"221,261","0,03274","176,857","0,061472","213,437","0,068415","241,856","0,07909","291,88","0,088552","335,406","0,107082","585,428","0,063853","522,353","0,110122","850,941","0,075384","901,755","0,100042","710,055","0,220874","971,016","0,211789","1450,03","0,144979","1715,29","0,345707","1984,93","0,972233"
 ,"199,805","0,03684","160,187","0,071635","192,933","0,080446","214,937","0,096215","266,492","0,102677","302,579","0,128072","532,372","0,074187","474,539","0,129877","778,48","0,087321","824,967","0,116698","639,28","0,2714","894,57","0,249035","1334,54","0,168611","1599,33","0,402459","1930,12","1,06698"
 ,"186,483","0,040189","144,076","0,08474","171,287","0,098356","195,849","0,112797","243,799","0,119892","270,79","0,155959","465,142","0,092721","432,397","0,15379","714,329","0,101351","753,209","0,136947","573,836","0,33482","809,44","0,305086","1241,83","0,193367","1507,7","0,456502","1871,21","1,18038"
 ,"173,355","0,044327","130,757","0,099742","154,368","0,1174","174,748","0,137495","221,704","0,142393","242,34","0,192595","420,457","0,110453","388,131","0,186903","647,645","0,118937","678,811","0,1661","521,831","0,405692","737,557","0,368188","1160,19","0,220874","1428,44","0,513677","1810,47","1,32689"
 ,"163,423","0,048163","117,842","0,119175","139,26","0,141117","159,388","0,163464","202,015","0,169625","215,152","0,240951","371,795","0,137084","351,196","0,225561","597,254","0,136947","594,276","0,211366","475,489","0,491073","674,751","0,446122","1068,85","0,258163","1361,5","0,57398","1741,22","1,5324"
 ,"150,106","0,05463","105,672","0,14527","123,76","0,175492","144,654","0,197274","183,891","0,202875","193,126","0,297851","337,763","0,1633","318,73","0,270316","550,234","0,15895","548,585","0,246803","445,565","0,56374","615,443","0,540554","988,652","0,300544","1282,21","0,660234","1672,94","1,77507"
 ,"138,704","0,06135","94,7598","0,177966","110,426","0,218239","131,807","0,236179","166,225","0,246064","176,68","0,355169","309,001","0,192981","293,05","0,320087","503,379","0,186903","506,915","0,286745","417,107","0,652359","559,668","0,660234","911,729","0,353044","1212,38","0,754907","1600,93","2,08515"
 ,"128,296","0,069172","84,2127","0,223988","98,0371","0,273033","120,102","0,281348","149,507","0,304781","158,911","0,438602","280,435","0,231503","261,215","0,402057","458,676","0,222871","473,117","0,329835","392,424","0,748143","504,891","0,825174","854,352","0,401253","1146,35","0,873576","1538,16","2,44694"
 ,"119,145","0,077913","74,8395","0,282758","89,2415","0,328518","109,218","0,338523","134,336","0,376378","148,91","0,500994","256,812","0,273853","233,771","0,504009","414,612","0,269506","433,262","0,394095","370,311","0,853713","464,213","0,994853","795,796","0,465724","1076,36","1,02823","1488,22","2,80062"
 ,"109,655","0,088996","68,9475","0,335155","81,5606","0,39449","99,6183","0,407318","117,606","0,491565","133,532","0,626779","236,121","0,321691","209,839","0,634346","374,033","0,329835","399,552","0,461551","349,794","0,982986","424,683","1,20905","743,481","0,538396","1015,71","1,20664","1438,48","3,21183"
 ,"100,619","0,102472","62,4487","0,406911","74,5407","0,472763","92,8835","0,470875","104,412","0,629921","121,188","0,770157","219,059","0,373005","187,231","0,808026","341,84","0,393308","363,342","0,560929","332,734","1,11164","400,752","1,38381","689,07","0,634346","971,987","1,3673","1394,57","3,70559"
 ,"91,1353","0,122314","57,3599","0,484731","67,178","0,583821","84,8891","0,566","91,8674","0,829311","110,647","0,941614","200,205","0,446122","170,093","0,994853","312,418","0,470405","336,078","0,66288","314,928","1,27359","383,118","1,54471","653,5","0,713794","929,217","1,56493","1371,06","4,02628"
 ,"83,2914","0,143393","52,1094","0,596211","61,0899","0,713794","77,8938","0,677625","85,9139","0,959675","101,529","1,14092","183,157","0,533039","155,608","1,21268","281,841","0,579748","310,86","0,788865","302,579","1,41884","364,069","1,76445","626,622","0,788076","887,442","1,80009","1345,26","4,37035"
